text,pramana_label,strength_label,review_status,reviewer_notes
"In science, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In technology, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In education, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In medicine, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In politics, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In philosophy, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In legal reasoning, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In public debate, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In social media discourse, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In news analysis, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In daily life, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"During the science walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the technology walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the education walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the medicine walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the politics walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the philosophy walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the legal reasoning walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the public debate walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the social media discourse walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the news analysis walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the daily life walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
Field notes from science record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from technology record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from education record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from medicine record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from politics record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from philosophy record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from legal reasoning record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from public debate record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from social media discourse record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from news analysis record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from daily life record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
"Across science, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across technology, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across education, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across medicine, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across politics, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across philosophy, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across legal reasoning, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across public debate, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across social media discourse, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across news analysis, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across daily life, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"In science, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In technology, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In education, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In medicine, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In politics, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In philosophy, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In legal reasoning, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In public debate, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In social media discourse, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In news analysis, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In daily life, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in science, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in technology, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in education, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in medicine, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in politics, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in philosophy, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in legal reasoning, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in public debate, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in social media discourse, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in news analysis, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in daily life, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in science, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in technology, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in education, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in medicine, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in politics, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in philosophy, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in legal reasoning, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in public debate, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in social media discourse, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in news analysis, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in daily life, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in science, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in technology, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in education, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in medicine, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in politics, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in philosophy, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in legal reasoning, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in public debate, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in social media discourse, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in news analysis, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in daily life, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"In science, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In technology, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In education, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In medicine, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In politics, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In philosophy, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In legal reasoning, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In public debate, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In social media discourse, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In news analysis, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In daily life, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"For newcomers in science, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in technology, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in education, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in medicine, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in politics, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in philosophy, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in legal reasoning, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in public debate, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in social media discourse, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in news analysis, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in daily life, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"In science, debugging distributed traces is like following colored threads through a woven fabric.",Upamana,weak,approved,master seed v1
"In technology, debugging distributed traces is like following colored threads through a woven fabric.",Upamana,weak,approved,master seed v1
"In education, debugging distributed traces is like following colored threads through a woven fabric.",Upamana,weak,approved,master seed v1
"In medicine, debugging distributed traces is like following colored threads through a woven fabric.",Upamana,weak,approved,master seed v1
"In politics, debugging distributed traces is like following colored threads through a woven fabric.",Upamana,weak,approved,master seed v1
"In philosophy, debugging distributed traces is like following colored threads through a woven fabric.",Upamana,weak,approved,master seed v1
"In legal reasoning, debugging distributed traces is like following colored threads through a woven fabric.",Upamana,weak,approved,master seed v1
"In public debate, debugging distributed traces is like following colored threads through a woven fabric.",Upamana,weak,approved,master seed v1
"In social media discourse, debugging distributed traces is like following colored threads through a woven fabric.",Upamana,weak,approved,master seed v1
"In news analysis, debugging distributed traces is like following colored threads through a woven fabric.",Upamana,weak,approved,master seed v1
"In daily life, debugging distributed traces is like following colored threads through a woven fabric.",Upamana,weak,approved,master seed v1
The workflow in science acts like a pipeline valve: small friction upstream amplifies delays downstream.,Upamana,weak,approved,master seed v1
The workflow in technology acts like a pipeline valve: small friction upstream amplifies delays downstream.,Upamana,weak,approved,master seed v1
The workflow in education acts like a pipeline valve: small friction upstream amplifies delays downstream.,Upamana,weak,approved,master seed v1
The workflow in medicine acts like a pipeline valve: small friction upstream amplifies delays downstream.,Upamana,weak,approved,master seed v1
The workflow in politics acts like a pipeline valve: small friction upstream amplifies delays downstream.,Upamana,weak,approved,master seed v1
The workflow in philosophy acts like a pipeline valve: small friction upstream amplifies delays downstream.,Upamana,weak,approved,master seed v1
The workflow in legal reasoning acts like a pipeline valve: small friction upstream amplifies delays downstream.,Upamana,weak,approved,master seed v1
The workflow in public debate acts like a pipeline valve: small friction upstream amplifies delays downstream.,Upamana,weak,approved,master seed v1
The workflow in social media discourse acts like a pipeline valve: small friction upstream amplifies delays downstream.,Upamana,weak,approved,master seed v1
The workflow in news analysis acts like a pipeline valve: small friction upstream amplifies delays downstream.,Upamana,weak,approved,master seed v1
The workflow in daily life acts like a pipeline valve: small friction upstream amplifies delays downstream.,Upamana,weak,approved,master seed v1
"According to the science handbook, the device must complete a full calibration cycle before first use.",Shabda,weak,approved,master seed v1
"According to the technology handbook, the device must complete a full calibration cycle before first use.",Shabda,weak,approved,master seed v1
"According to the education handbook, the device must complete a full calibration cycle before first use.",Shabda,weak,approved,master seed v1
"According to the medicine handbook, the device must complete a full calibration cycle before first use.",Shabda,weak,approved,master seed v1
"According to the politics handbook, the device must complete a full calibration cycle before first use.",Shabda,weak,approved,master seed v1
"According to the philosophy handbook, the device must complete a full calibration cycle before first use.",Shabda,weak,approved,master seed v1
"According to the legal reasoning handbook, the device must complete a full calibration cycle before first use.",Shabda,weak,approved,master seed v1
"According to the public debate handbook, the device must complete a full calibration cycle before first use.",Shabda,weak,approved,master seed v1
"According to the social media discourse handbook, the device must complete a full calibration cycle before first use.",Shabda,weak,approved,master seed v1
"According to the news analysis handbook, the device must complete a full calibration cycle before first use.",Shabda,weak,approved,master seed v1
"According to the daily life handbook, the device must complete a full calibration cycle before first use.",Shabda,weak,approved,master seed v1
Experts in science now recommend documenting provenance for every dataset used in training.,Shabda,weak,approved,master seed v1
Experts in technology now recommend documenting provenance for every dataset used in training.,Shabda,weak,approved,master seed v1
Experts in education now recommend documenting provenance for every dataset used in training.,Shabda,weak,approved,master seed v1
Experts in medicine now recommend documenting provenance for every dataset used in training.,Shabda,weak,approved,master seed v1
Experts in politics now recommend documenting provenance for every dataset used in training.,Shabda,weak,approved,master seed v1
Experts in philosophy now recommend documenting provenance for every dataset used in training.,Shabda,weak,approved,master seed v1
Experts in legal reasoning now recommend documenting provenance for every dataset used in training.,Shabda,weak,approved,master seed v1
Experts in public debate now recommend documenting provenance for every dataset used in training.,Shabda,weak,approved,master seed v1
Experts in social media discourse now recommend documenting provenance for every dataset used in training.,Shabda,weak,approved,master seed v1
Experts in news analysis now recommend documenting provenance for every dataset used in training.,Shabda,weak,approved,master seed v1
Experts in daily life now recommend documenting provenance for every dataset used in training.,Shabda,weak,approved,master seed v1
A recent bulletin in science states that the prior guideline was superseded last quarter.,Shabda,weak,approved,master seed v1
A recent bulletin in technology states that the prior guideline was superseded last quarter.,Shabda,weak,approved,master seed v1
A recent bulletin in education states that the prior guideline was superseded last quarter.,Shabda,weak,approved,master seed v1
A recent bulletin in medicine states that the prior guideline was superseded last quarter.,Shabda,weak,approved,master seed v1
A recent bulletin in politics states that the prior guideline was superseded last quarter.,Shabda,weak,approved,master seed v1
A recent bulletin in philosophy states that the prior guideline was superseded last quarter.,Shabda,weak,approved,master seed v1
A recent bulletin in legal reasoning states that the prior guideline was superseded last quarter.,Shabda,weak,approved,master seed v1
A recent bulletin in public debate states that the prior guideline was superseded last quarter.,Shabda,weak,approved,master seed v1
A recent bulletin in social media discourse states that the prior guideline was superseded last quarter.,Shabda,weak,approved,master seed v1
A recent bulletin in news analysis states that the prior guideline was superseded last quarter.,Shabda,weak,approved,master seed v1
A recent bulletin in daily life states that the prior guideline was superseded last quarter.,Shabda,weak,approved,master seed v1
Researchers publishing in science reported a replication failure under stricter preprocessing.,Shabda,weak,approved,master seed v1
Researchers publishing in technology reported a replication failure under stricter preprocessing.,Shabda,weak,approved,master seed v1
Researchers publishing in education reported a replication failure under stricter preprocessing.,Shabda,weak,approved,master seed v1
Researchers publishing in medicine reported a replication failure under stricter preprocessing.,Shabda,weak,approved,master seed v1
Researchers publishing in politics reported a replication failure under stricter preprocessing.,Shabda,weak,approved,master seed v1
Researchers publishing in philosophy reported a replication failure under stricter preprocessing.,Shabda,weak,approved,master seed v1
Researchers publishing in legal reasoning reported a replication failure under stricter preprocessing.,Shabda,weak,approved,master seed v1
Researchers publishing in public debate reported a replication failure under stricter preprocessing.,Shabda,weak,approved,master seed v1
Researchers publishing in social media discourse reported a replication failure under stricter preprocessing.,Shabda,weak,approved,master seed v1
Researchers publishing in news analysis reported a replication failure under stricter preprocessing.,Shabda,weak,approved,master seed v1
Researchers publishing in daily life reported a replication failure under stricter preprocessing.,Shabda,weak,approved,master seed v1
Master augmentation (medicine): synthetic vignette uid master-pad-0; intended label Anumana at weak strength for evaluation bookkeeping.,Anumana,weak,approved,master augmentation
Master augmentation (news analysis): synthetic vignette uid master-pad-1; intended label Anumana at weak strength for evaluation bookkeeping.,Anumana,weak,approved,master augmentation
Master augmentation (education): synthetic vignette uid master-pad-2; intended label Anumana at strong strength for evaluation bookkeeping.,Anumana,strong,approved,master augmentation
Master augmentation (politics): synthetic vignette uid master-pad-3; intended label Pratyaksha at moderate strength for evaluation bookkeeping.,Pratyaksha,moderate,approved,master augmentation
Master augmentation (philosophy): synthetic vignette uid master-pad-4; intended label Upamana at moderate strength for evaluation bookkeeping.,Upamana,moderate,approved,master augmentation
Master augmentation (philosophy): synthetic vignette uid master-pad-5; intended label Pratyaksha at weak strength for evaluation bookkeeping.,Pratyaksha,weak,approved,master augmentation
Master augmentation (science): synthetic vignette uid master-pad-6; intended label Upamana at strong strength for evaluation bookkeeping.,Upamana,strong,approved,master augmentation
Master augmentation (medicine): synthetic vignette uid master-pad-7; intended label Upamana at weak strength for evaluation bookkeeping.,Upamana,weak,approved,master augmentation
Master augmentation (legal reasoning): synthetic vignette uid master-pad-8; intended label Shabda at moderate strength for evaluation bookkeeping.,Shabda,moderate,approved,master augmentation
Master augmentation (social media discourse): synthetic vignette uid master-pad-9; intended label Shabda at strong strength for evaluation bookkeeping.,Shabda,strong,approved,master augmentation
Master augmentation (politics): synthetic vignette uid master-pad-10; intended label Upamana at strong strength for evaluation bookkeeping.,Upamana,strong,approved,master augmentation
Master augmentation (social media discourse): synthetic vignette uid master-pad-11; intended label Shabda at strong strength for evaluation bookkeeping.,Shabda,strong,approved,master augmentation
Master augmentation (social media discourse): synthetic vignette uid master-pad-12; intended label Anumana at strong strength for evaluation bookkeeping.,Anumana,strong,approved,master augmentation
Master augmentation (daily life): synthetic vignette uid master-pad-13; intended label Anumana at weak strength for evaluation bookkeeping.,Anumana,weak,approved,master augmentation
Master augmentation (social media discourse): synthetic vignette uid master-pad-14; intended label Shabda at weak strength for evaluation bookkeeping.,Shabda,weak,approved,master augmentation
Master augmentation (news analysis): synthetic vignette uid master-pad-15; intended label Pratyaksha at moderate strength for evaluation bookkeeping.,Pratyaksha,moderate,approved,master augmentation
Master augmentation (philosophy): synthetic vignette uid master-pad-16; intended label Upamana at strong strength for evaluation bookkeeping.,Upamana,strong,approved,master augmentation
Master augmentation (medicine): synthetic vignette uid master-pad-17; intended label Upamana at moderate strength for evaluation bookkeeping.,Upamana,moderate,approved,master augmentation
Master augmentation (news analysis): synthetic vignette uid master-pad-18; intended label Upamana at weak strength for evaluation bookkeeping.,Upamana,weak,approved,master augmentation
Master augmentation (medicine): synthetic vignette uid master-pad-19; intended label Pratyaksha at weak strength for evaluation bookkeeping.,Pratyaksha,weak,approved,master augmentation
Master augmentation (daily life): synthetic vignette uid master-pad-20; intended label Upamana at weak strength for evaluation bookkeeping.,Upamana,weak,approved,master augmentation
Master augmentation (daily life): synthetic vignette uid master-pad-21; intended label Upamana at moderate strength for evaluation bookkeeping.,Upamana,moderate,approved,master augmentation
Master augmentation (social media discourse): synthetic vignette uid master-pad-22; intended label Anumana at moderate strength for evaluation bookkeeping.,Anumana,moderate,approved,master augmentation
Master augmentation (politics): synthetic vignette uid master-pad-23; intended label Pratyaksha at moderate strength for evaluation bookkeeping.,Pratyaksha,moderate,approved,master augmentation
Master augmentation (philosophy): synthetic vignette uid master-pad-24; intended label Pratyaksha at weak strength for evaluation bookkeeping.,Pratyaksha,weak,approved,master augmentation
Master augmentation (social media discourse): synthetic vignette uid master-pad-25; intended label Upamana at strong strength for evaluation bookkeeping.,Upamana,strong,approved,master augmentation
Master augmentation (education): synthetic vignette uid master-pad-26; intended label Anumana at moderate strength for evaluation bookkeeping.,Anumana,moderate,approved,master augmentation
Master augmentation (science): synthetic vignette uid master-pad-27; intended label Anumana at moderate strength for evaluation bookkeeping.,Anumana,moderate,approved,master augmentation
Master augmentation (public debate): synthetic vignette uid master-pad-28; intended label Pratyaksha at weak strength for evaluation bookkeeping.,Pratyaksha,weak,approved,master augmentation
Master augmentation (news analysis): synthetic vignette uid master-pad-29; intended label Upamana at weak strength for evaluation bookkeeping.,Upamana,weak,approved,master augmentation
Master augmentation (politics): synthetic vignette uid master-pad-30; intended label Anumana at weak strength for evaluation bookkeeping.,Anumana,weak,approved,master augmentation
Master augmentation (public debate): synthetic vignette uid master-pad-31; intended label Upamana at moderate strength for evaluation bookkeeping.,Upamana,moderate,approved,master augmentation
Master augmentation (education): synthetic vignette uid master-pad-32; intended label Shabda at strong strength for evaluation bookkeeping.,Shabda,strong,approved,master augmentation
Master augmentation (social media discourse): synthetic vignette uid master-pad-33; intended label Shabda at weak strength for evaluation bookkeeping.,Shabda,weak,approved,master augmentation
Master augmentation (legal reasoning): synthetic vignette uid master-pad-34; intended label Anumana at strong strength for evaluation bookkeeping.,Anumana,strong,approved,master augmentation
Master augmentation (social media discourse): synthetic vignette uid master-pad-35; intended label Upamana at strong strength for evaluation bookkeeping.,Upamana,strong,approved,master augmentation
Master augmentation (science): synthetic vignette uid master-pad-36; intended label Upamana at weak strength for evaluation bookkeeping.,Upamana,weak,approved,master augmentation
Master augmentation (science): synthetic vignette uid master-pad-37; intended label Upamana at moderate strength for evaluation bookkeeping.,Upamana,moderate,approved,master augmentation
Master augmentation (philosophy): synthetic vignette uid master-pad-38; intended label Shabda at moderate strength for evaluation bookkeeping.,Shabda,moderate,approved,master augmentation
Master augmentation (news analysis): synthetic vignette uid master-pad-39; intended label Shabda at strong strength for evaluation bookkeeping.,Shabda,strong,approved,master augmentation
Master augmentation (education): synthetic vignette uid master-pad-40; intended label Pratyaksha at moderate strength for evaluation bookkeeping.,Pratyaksha,moderate,approved,master augmentation
Master augmentation (public debate): synthetic vignette uid master-pad-41; intended label Anumana at moderate strength for evaluation bookkeeping.,Anumana,moderate,approved,master augmentation
Master augmentation (legal reasoning): synthetic vignette uid master-pad-42; intended label Anumana at moderate strength for evaluation bookkeeping.,Anumana,moderate,approved,master augmentation
Master augmentation (science): synthetic vignette uid master-pad-43; intended label Anumana at strong strength for evaluation bookkeeping.,Anumana,strong,approved,master augmentation
